threshold,precision,recall,f1,alert_rate,alerts_per_1000
0.0,0.16361111111111112,1.0,0.28121269990421666,1.0,1000
0.01,0.17511933174224345,0.9966044142614601,0.2978939355239294,0.9311111111111111,931
0.02,0.18729851708575113,0.9864176570458404,0.31481983199701924,0.8616666666666667,861
0.03,0.2009821115398106,0.9728353140916808,0.33313953485534004,0.7919444444444445,791
0.04,0.21447418017338862,0.966044142614601,0.35101789016150575,0.7369444444444444,736
0.05,0.2253123740427247,0.9490662139219015,0.3641693810764823,0.6891666666666667,689
0.06,0.23829969944182053,0.9422750424448217,0.3803975325243242,0.6469444444444444,646
0.07,0.24795640326975477,0.9269949066213922,0.39125761372520956,0.6116666666666667,611
0.08,0.2587446094873023,0.9168081494057725,0.4035874439118566,0.5797222222222222,579
0.09,0.2686116700201207,0.9066213921901528,0.4144353899530944,0.5522222222222222,552
0.1,0.27925531914893614,0.8913412563667232,0.4252733900001224,0.5222222222222223,522
0.11,0.28916339135317237,0.8743633276740238,0.43459915608079164,0.49472222222222223,494
0.12,0.29518779342723006,0.8539898132427843,0.438726559054714,0.47333333333333333,473
0.13,0.3053670573719926,0.8404074702886248,0.4479638008658803,0.4502777777777778,450
0.14,0.3145631067961165,0.8251273344651953,0.4554826616282632,0.42916666666666664,429
0.15,0.3213070115724983,0.801358234295416,0.4586977647793558,0.40805555555555556,408
0.16,0.3271954674220963,0.7843803056027164,0.461769115400737,0.39222222222222225,392
0.17,0.33929903057419836,0.7724957555178268,0.47150259063116595,0.3725,372
0.18,0.34528448947778645,0.7521222410865874,0.4732905982474703,0.35638888888888887,356
0.19,0.34959349593495936,0.7300509337860781,0.4727872456956262,0.3416666666666667,341
0.2,0.3602058319039451,0.7130730050933786,0.47863247858788327,0.3238888888888889,323
0.21,0.3662222222222222,0.6994906621392191,0.4807467910867449,0.3125,312
0.22,0.37267657992565056,0.6808149405772496,0.4816816816359593,0.29888888888888887,298
0.23,0.379746835443038,0.6621392190152802,0.4826732672804058,0.2852777777777778,285
0.24,0.38871794871794874,0.6434634974533107,0.4846547314108461,0.2708333333333333,270
0.25,0.4,0.631578947368421,0.4897959183198667,0.25833333333333336,258
0.26,0.4018058690744921,0.6044142614601019,0.48271186435880686,0.2461111111111111,246
0.27,0.40639810426540285,0.5823429541595926,0.4787159804121555,0.23444444444444446,234
0.28,0.41563275434243174,0.568760611205433,0.4802867383024644,0.2238888888888889,223
0.29,0.42408376963350786,0.5500848896434635,0.47893569839872996,0.21222222222222223,212
0.3,0.43586206896551727,0.5365025466893039,0.48097412476027684,0.2013888888888889,201
0.31,0.4460431654676259,0.5263157894736842,0.48286604356404794,0.19305555555555556,193
0.32,0.45537065052950076,0.5110356536502547,0.48159999995016595,0.1836111111111111,183
0.33,0.45800316957210774,0.4906621392190153,0.47377049175333796,0.17527777777777778,175
0.34,0.46589018302828616,0.47538200339558573,0.4705882352441227,0.16694444444444445,166
0.35,0.4727592267135325,0.4567062818336163,0.4645941277565779,0.15805555555555556,158
0.36,0.48859315589353614,0.4363327674023769,0.46098654703536146,0.1461111111111111,146
0.37,0.49193548387096775,0.4142614601018676,0.4497695852038236,0.13777777777777778,137
0.38,0.5010526315789474,0.40407470288624786,0.4473684210032055,0.13194444444444445,131
0.39,0.5121951219512195,0.3921901528013582,0.44423076918164955,0.12527777777777777,125
0.4,0.5176470588235295,0.3735144312393888,0.43392504926097264,0.11805555555555555,118
0.41,0.5220588235294118,0.3616298811544992,0.42728184548825776,0.11333333333333333,113
0.42,0.5298701298701298,0.3463497453310696,0.4188911703834049,0.10694444444444444,106
0.43,0.5542857142857143,0.3293718166383701,0.41320553775941593,0.09722222222222222,97
0.44,0.573134328358209,0.32597623089983024,0.41558441553819386,0.09305555555555556,93
0.45,0.5859872611464968,0.31239388794567063,0.40753045399671917,0.08722222222222223,87
0.46,0.6145833333333334,0.300509337860781,0.4036488026924919,0.08,80
0.47,0.6263736263736264,0.2903225806451613,0.39675174009593056,0.07583333333333334,75
0.48,0.6459143968871596,0.28183361629881154,0.3924349881373693,0.07138888888888889,71
0.49,0.6544715447154471,0.2733446519524618,0.385628742473407,0.06833333333333333,68
0.5,0.6752136752136753,0.26825127334465193,0.38396111782078546,0.065,65
0.51,0.684931506849315,0.2546689303904924,0.37128712867335584,0.060833333333333336,60
0.52,0.6908212560386473,0.2427843803056027,0.3592964823735755,0.0575,57
0.53,0.6984924623115578,0.23599320882852293,0.3527918781348363,0.05527777777777778,55
0.54,0.7098445595854922,0.23259762308998302,0.35038363167637676,0.05361111111111111,53
0.55,0.7333333333333333,0.22410865874363328,0.34330299086141286,0.05,50
0.56,0.7469879518072289,0.21052631578947367,0.3284768211577478,0.04611111111111111,46
0.57,0.7452229299363057,0.19864176570458403,0.3136729222187779,0.043611111111111114,43
0.58,0.7450980392156863,0.1935483870967742,0.3072776279996088,0.0425,42
0.59,0.7569444444444444,0.18505942275042445,0.2974079126560134,0.04,40
0.6,0.762962962962963,0.17487266553480477,0.2845303867099925,0.0375,37
0.61,0.7637795275590551,0.16468590831918506,0.27094972064120854,0.035277777777777776,35
0.62,0.773109243697479,0.15619694397283532,0.2598870056217518,0.03305555555555555,33
0.63,0.7818181818181819,0.1460101867572156,0.24606580827104735,0.030555555555555555,30
0.64,0.7961165048543689,0.13921901528013583,0.2369942196278413,0.02861111111111111,28
0.65,0.7959183673469388,0.13242784380305603,0.22707423578340016,0.02722222222222222,27
0.66,0.7956989247311828,0.12563667232597622,0.21700879763040523,0.025833333333333333,25
0.67,0.7976190476190477,0.11375212224108659,0.1991084695175288,0.023333333333333334,23
0.68,0.782051282051282,0.1035653650254669,0.18290854570648318,0.021666666666666667,21
0.69,0.7887323943661971,0.09507640067911714,0.16969696967776904,0.01972222222222222,19
0.7,0.7971014492753623,0.0933786078098472,0.16717325226086188,0.019166666666666665,19
0.71,0.796875,0.0865874363327674,0.15620214393331472,0.017777777777777778,17
0.72,0.7857142857142857,0.07470288624787776,0.13643410851127502,0.015555555555555555,15
0.73,0.78,0.06621392190152801,0.1220657276851056,0.013888888888888888,13
0.74,0.7954545454545454,0.059422750424448216,0.11058451815452083,0.012222222222222223,12
0.75,0.7837837837837838,0.04923599320882852,0.092651757177376,0.010277777777777778,10
0.76,0.7878787878787878,0.044142614601018676,0.08360128616358546,0.009166666666666667,9
0.77,0.7407407407407407,0.03395585738539898,0.06493506492668294,0.0075,7
0.78,0.7272727272727273,0.027164685908319185,0.05237315874919546,0.006111111111111111,6
0.79,0.7894736842105263,0.025466893039049237,0.04934210525710321,0.005277777777777778,5
0.8,0.75,0.02037351443123939,0.039669421482453934,0.0044444444444444444,4
0.81,0.7272727272727273,0.013582342954159592,0.02666666666306722,0.0030555555555555557,3
0.82,0.8333333333333334,0.008488964346349746,0.016806722687079164,0.0016666666666666668,1
0.83,0.75,0.0050933786078098476,0.010118043843516689,0.0011111111111111111,1
0.84,1.0,0.003395585738539898,0.006768189508631731,0.0005555555555555556,0
0.85,1.0,0.001697792869269949,0.003389830508136168,0.0002777777777777778,0
